field,types,records_with_field,field_coverage_pct,matched_field_coverage_pct,records_with_value,value_coverage_pct,matched_value_coverage_pct,returned_record_count,submitted_domain_count,occurrences
alexa_ranking,integer,78,22.35,36.28,78,22.35,36.28,215,349,78
angellist_url,string,8,2.29,3.72,8,2.29,3.72,215,349,8
annual_revenue,integer,126,36.1,58.6,126,36.1,58.6,215,349,126
annual_revenue_printed,string,126,36.1,58.6,126,36.1,58.6,215,349,126
city,string,192,55.01,89.3,192,55.01,89.3,215,349,192
country,string,208,59.6,96.74,208,59.6,96.74,215,349,208
current_technologies,array,215,61.6,100,213,61.03,99.07,215,349,215
current_technologies[].category,string,213,61.03,99.07,213,61.03,99.07,215,349,4248
current_technologies[].name,string,213,61.03,99.07,213,61.03,99.07,215,349,4248
current_technologies[].uid,string,213,61.03,99.07,213,61.03,99.07,215,349,4248
departmental_head_count,object,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.accounting,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.administrative,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.arts_and_design,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.business_development,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.consulting,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.data_science,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.education,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.engineering,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.entrepreneurship,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.finance,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.human_resources,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.information_technology,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.legal,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.marketing,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.media_and_commmunication,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.operations,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.product_management,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.sales,integer,215,61.6,100,215,61.6,100,215,349,215
departmental_head_count.support,integer,215,61.6,100,215,61.6,100,215,349,215
estimated_num_employees,integer,215,61.6,100,186,53.3,86.51,215,349,215
facebook_url,string,160,45.85,74.42,160,45.85,74.42,215,349,160
