field,types,records_with_field,field_coverage_pct,matched_field_coverage_pct,records_with_value,value_coverage_pct,matched_value_coverage_pct,returned_record_count,submitted_domain_count,occurrences
country,string,163,46.7,88.11,163,46.7,88.11,185,349,163
description,string,163,46.7,88.11,163,46.7,88.11,185,349,163
domain,string,185,53.01,100,185,53.01,100,185,349,185
employees,integer,185,53.01,100,175,50.14,94.59,185,349,185
followers,integer,185,53.01,100,180,51.58,97.3,185,349,185
founded_at,integer,185,53.01,100,124,35.53,67.03,185,349,185
funding,object,18,5.16,9.73,18,5.16,9.73,185,349,18
funding.latest_date,string,18,5.16,9.73,18,5.16,9.73,185,349,18
funding.number_of_funding_rounds,integer,18,5.16,9.73,18,5.16,9.73,185,349,18
funding.rounds,array,18,5.16,9.73,18,5.16,9.73,185,349,18
funding.rounds[].announced_date,string,18,5.16,9.73,18,5.16,9.73,185,349,18
funding.rounds[].funding_type,string,18,5.16,9.73,18,5.16,9.73,185,349,18
funding.rounds[].investor_names,array,18,5.16,9.73,0,0,0,185,349,18
funding.rounds[].lead_investors,array,18,5.16,9.73,0,0,0,185,349,18
funding.rounds[].money_raised_usd,integer,14,4.01,7.57,14,4.01,7.57,185,349,14
headquarter,string,169,48.42,91.35,169,48.42,91.35,185,349,169
industry,string,178,51,96.22,178,51,96.22,185,349,178
li_vanity,string,185,53.01,100,185,53.01,100,185,349,185
locations,array,185,53.01,100,164,46.99,88.65,185,349,185
locations[],string,164,46.99,88.65,164,46.99,88.65,185,349,359
logo_url,string,150,42.98,81.08,150,42.98,81.08,185,349,150
name,string,185,53.01,100,185,53.01,100,185,349,185
revenue,string,185,53.01,100,159,45.56,85.95,185,349,185
size,integer,185,53.01,100,175,50.14,94.59,185,349,185
specialties,array,185,53.01,100,106,30.37,57.3,185,349,185
specialties[],string,106,30.37,57.3,106,30.37,57.3,185,349,1042
type,string,136,38.97,73.51,136,38.97,73.51,185,349,136
website,string,185,53.01,100,185,53.01,100,185,349,185
