field,types,records_with_field,field_coverage_pct,matched_field_coverage_pct,records_with_value,value_coverage_pct,matched_value_coverage_pct,returned_record_count,submitted_domain_count,occurrences
api_docs_exist,boolean,160,45.85,90.91,160,45.85,90.91,176,349,160
created_at,string,176,50.43,100,176,50.43,100,176,349,176
demo_available,boolean,160,45.85,90.91,160,45.85,90.91,176,349,160
description,string,143,40.97,81.25,143,40.97,81.25,176,349,143
emails,array,160,45.85,90.91,40,11.46,22.73,176,349,160
emails[],string,40,11.46,22.73,40,11.46,22.73,176,349,48
enriched_b2b,integer,166,47.56,94.32,166,47.56,94.32,176,349,166
enriched_category,string,165,47.28,93.75,165,47.28,93.75,176,349,165
enriched_keywords,array,165,47.28,93.75,165,47.28,93.75,176,349,165
enriched_keywords[],string,165,47.28,93.75,165,47.28,93.75,176,349,813
enriched_summary,string,154,44.13,87.5,154,44.13,87.5,176,349,154
expired_domain,boolean,176,50.43,100,176,50.43,100,176,349,176
followers,integer,176,50.43,100,145,41.55,82.39,176,349,176
founded,string,114,32.66,64.77,114,32.66,64.77,176,349,114
free_trial_available,boolean,160,45.85,90.91,160,45.85,90.91,176,349,160
funding_rounds,array,14,4.01,7.95,14,4.01,7.95,176,349,14
funding_rounds[].cb_url,string,14,4.01,7.95,14,4.01,7.95,176,349,14
funding_rounds[].last_round_date,string,14,4.01,7.95,14,4.01,7.95,176,349,14
funding_rounds[].last_round_investors_count,integer,14,4.01,7.95,14,4.01,7.95,176,349,14
funding_rounds[].last_round_money_raised,integer,14,4.01,7.95,14,4.01,7.95,176,349,14
funding_rounds[].last_round_type,string,14,4.01,7.95,14,4.01,7.95,176,349,14
funding_rounds[].total_rounds_count,integer,14,4.01,7.95,14,4.01,7.95,176,349,14
id,integer,176,50.43,100,176,50.43,100,176,349,176
industry,string,165,47.28,93.75,165,47.28,93.75,176,349,165
is_downloadable,boolean,160,45.85,90.91,160,45.85,90.91,176,349,160
last_updated,string,176,50.43,100,176,50.43,100,176,349,176
linkedin_source_id,string,176,50.43,100,176,50.43,100,176,349,176
location_hq_city,string,140,40.11,79.55,140,40.11,79.55,176,349,140
location_hq_country,string,155,44.41,88.07,155,44.41,88.07,176,349,155
location_hq_country_iso_2,string,136,38.97,77.27,136,38.97,77.27,176,349,136
location_hq_country_iso_3,string,141,40.4,80.11,141,40.4,80.11,176,349,141
location_hq_raw_address,string,155,44.41,88.07,155,44.41,88.07,176,349,155
location_hq_regions,array,155,44.41,88.07,136,38.97,77.27,176,349,155
location_hq_regions[],string,136,38.97,77.27,136,38.97,77.27,176,349,419
location_hq_state,string,126,36.1,71.59,126,36.1,71.59,176,349,126
locations_full,array,156,44.7,88.64,156,44.7,88.64,176,349,156
locations_full[].city,string,33,9.46,18.75,33,9.46,18.75,176,349,94
locations_full[].country,string,37,10.6,21.02,37,10.6,21.02,176,349,98
locations_full[].country_iso_2,string,37,10.6,21.02,37,10.6,21.02,176,349,98
locations_full[].country_iso_3,string,37,10.6,21.02,37,10.6,21.02,176,349,98
locations_full[].is_primary,boolean,156,44.7,88.64,156,44.7,88.64,176,349,404
locations_full[].location_address,string,156,44.7,88.64,156,44.7,88.64,176,349,404
locations_full[].regions,array,156,44.7,88.64,37,10.6,21.02,176,349,404
locations_full[].regions[].region,string,37,10.6,21.02,37,10.6,21.02,176,349,314
locations_full[].state,string,27,7.74,15.34,27,7.74,15.34,176,349,56
logo,string,141,40.4,80.11,141,40.4,80.11,176,349,141
metadata_description,string,131,37.54,74.43,131,37.54,74.43,176,349,131
metadata_title,string,158,45.27,89.77,158,45.27,89.77,176,349,158
mobile_apps_exist,boolean,160,45.85,90.91,160,45.85,90.91,176,349,160
name,string,176,50.43,100,176,50.43,100,176,349,176
online_reviews_exist,boolean,160,45.85,90.91,160,45.85,90.91,176,349,160
phone_numbers,array,160,45.85,90.91,76,21.78,43.18,176,349,160
phone_numbers[],string,76,21.78,43.18,76,21.78,43.18,176,349,149
pricing_available,boolean,160,45.85,90.91,160,45.85,90.91,176,349,160
size_employees_count,integer,176,50.43,100,162,46.42,92.05,176,349,176
size_employees_count_inferred,integer,176,50.43,100,152,43.55,86.36,176,349,176
size_range,string,162,46.42,92.05,162,46.42,92.05,176,349,162
social_facebook_urls,array,113,32.38,64.2,113,32.38,64.2,176,349,113
social_facebook_urls[],string,113,32.38,64.2,113,32.38,64.2,176,349,136
social_github_urls,array,2,0.57,1.14,2,0.57,1.14,176,349,2
social_github_urls[],string,2,0.57,1.14,2,0.57,1.14,176,349,10
social_instagram_urls,array,86,24.64,48.86,86,24.64,48.86,176,349,86
social_instagram_urls[],string,86,24.64,48.86,86,24.64,48.86,176,349,111
social_linkedin_urls,array,74,21.2,42.05,74,21.2,42.05,176,349,74
social_linkedin_urls[],string,74,21.2,42.05,74,21.2,42.05,176,349,77
social_pinterest_urls,array,14,4.01,7.95,14,4.01,7.95,176,349,14
social_pinterest_urls[],string,14,4.01,7.95,14,4.01,7.95,176,349,14
social_reddit_urls,array,1,0.29,0.57,1,0.29,0.57,176,349,1
social_reddit_urls[],string,1,0.29,0.57,1,0.29,0.57,176,349,1
social_tiktok_urls,array,13,3.72,7.39,13,3.72,7.39,176,349,13
social_tiktok_urls[],string,13,3.72,7.39,13,3.72,7.39,176,349,13
social_twitter_urls,array,87,24.93,49.43,87,24.93,49.43,176,349,87
social_twitter_urls[],string,87,24.93,49.43,87,24.93,49.43,176,349,116
social_x_urls,array,11,3.15,6.25,11,3.15,6.25,176,349,11
