field,types,records_with_field,field_coverage_pct,matched_field_coverage_pct,records_with_value,value_coverage_pct,matched_value_coverage_pct,returned_record_count,submitted_domain_count,occurrences
company_data,object,135,38.68,100,135,38.68,100,135,349,135
company_data.basic_info,object,135,38.68,100,135,38.68,100,135,349,135
company_data.basic_info.all_domains,array,135,38.68,100,135,38.68,100,135,349,135
company_data.basic_info.all_domains[],string,135,38.68,100,135,38.68,100,135,349,138
company_data.basic_info.crustdata_company_id,integer,135,38.68,100,135,38.68,100,135,349,135
company_data.basic_info.employee_count_range,string,122,34.96,90.37,122,34.96,90.37,135,349,122
company_data.basic_info.industries,array,124,35.53,91.85,124,35.53,91.85,135,349,124
company_data.basic_info.industries[],string,124,35.53,91.85,124,35.53,91.85,135,349,278
company_data.basic_info.logo_permalink,string,119,34.1,88.15,119,34.1,88.15,135,349,119
company_data.basic_info.name,string,135,38.68,100,135,38.68,100,135,349,135
company_data.basic_info.primary_domain,string,131,37.54,97.04,131,37.54,97.04,135,349,131
company_data.basic_info.professional_network_id,string,132,37.82,97.78,132,37.82,97.78,135,349,132
company_data.basic_info.professional_network_url,string,133,38.11,98.52,133,38.11,98.52,135,349,133
company_data.basic_info.profile_name,string,132,37.82,97.78,132,37.82,97.78,135,349,132
company_data.basic_info.website,string,135,38.68,100,135,38.68,100,135,349,135
company_data.crustdata_company_id,integer,135,38.68,100,135,38.68,100,135,349,135
confidence_score,integer,135,38.68,100,135,38.68,100,135,349,135
