field,types,records_with_field,field_coverage_pct,matched_field_coverage_pct,records_with_value,value_coverage_pct,matched_value_coverage_pct,returned_record_count,submitted_domain_count,occurrences
affiliated_entities,array,109,31.23,51.9,19,5.44,9.05,210,349,109
affiliated_entities[].affiliated_id,string,19,5.44,9.05,19,5.44,9.05,210,349,49
affiliated_entities[].display_name,string,19,5.44,9.05,19,5.44,9.05,210,349,49
affiliated_entities[].employee_count,integer,19,5.44,9.05,19,5.44,9.05,210,349,47
affiliated_entities[].relationship,string,19,5.44,9.05,19,5.44,9.05,210,349,49
affiliated_profiles,array,210,60.17,100,37,10.6,17.62,210,349,210
affiliated_profiles[],string,37,10.6,17.62,37,10.6,17.62,210,349,81
all_subsidiaries,array,109,31.23,51.9,11,3.15,5.24,210,349,109
all_subsidiaries[],string,11,3.15,5.24,11,3.15,5.24,210,349,31
alternative_domains,array,210,60.17,100,38,10.89,18.1,210,349,210
alternative_domains[],string,38,10.89,18.1,38,10.89,18.1,210,349,42
alternative_names,array,210,60.17,100,77,22.06,36.67,210,349,210
alternative_names[],string,77,22.06,36.67,77,22.06,36.67,210,349,179
average_employee_tenure,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_inferred_revenue,string,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level,object,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.cxo,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.director,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.entry,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.manager,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.owner,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.partner,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.senior,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.training,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.unpaid,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_level.vp,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role,object,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.advisory,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.analyst,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.creative,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.education,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.engineering,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.finance,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.fulfillment,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.health,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.hospitality,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.human_resources,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.legal,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.manufacturing,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.marketing,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.operations,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.partnerships,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.product,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.professional_service,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.public_service,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.research,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.sales,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.sales_engineering,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.support,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
average_tenure_by_role.trade,integer|number,95,27.22,45.24,95,27.22,45.24,210,349,95
direct_subsidiaries,array,109,31.23,51.9,11,3.15,5.24,210,349,109
direct_subsidiaries[],string,11,3.15,5.24,11,3.15,5.24,210,349,31
display_name,string,210,60.17,100,210,60.17,100,210,349,210
employee_churn_rate,object,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_churn_rate.12_month,integer|number,86,24.64,40.95,86,24.64,40.95,210,349,86
employee_count,integer,186,53.3,88.57,186,53.3,88.57,210,349,186
employee_count_by_class,object,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_class.general_and_administrative,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_class.other_uncategorized,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_class.research_and_development,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_class.sales_and_marketing,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_class.services,integer,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_month,object,95,27.22,45.24,95,27.22,45.24,210,349,95
employee_count_by_month.2010-01,integer,55,15.76,26.19,55,15.76,26.19,210,349,55
employee_count_by_month.2010-02,integer,55,15.76,26.19,55,15.76,26.19,210,349,55
employee_count_by_month.2010-03,integer,55,15.76,26.19,55,15.76,26.19,210,349,55
employee_count_by_month.2010-04,integer,56,16.05,26.67,56,16.05,26.67,210,349,56
employee_count_by_month.2010-05,integer,58,16.62,27.62,58,16.62,27.62,210,349,58
employee_count_by_month.2010-06,integer,58,16.62,27.62,58,16.62,27.62,210,349,58
employee_count_by_month.2010-07,integer,59,16.91,28.1,59,16.91,28.1,210,349,59
employee_count_by_month.2010-08,integer,59,16.91,28.1,59,16.91,28.1,210,349,59
employee_count_by_month.2010-09,integer,59,16.91,28.1,59,16.91,28.1,210,349,59
employee_count_by_month.2010-10,integer,59,16.91,28.1,59,16.91,28.1,210,349,59
employee_count_by_month.2010-11,integer,59,16.91,28.1,59,16.91,28.1,210,349,59
employee_count_by_month.2010-12,integer,59,16.91,28.1,59,16.91,28.1,210,349,59
employee_count_by_month.2011-01,integer,60,17.19,28.57,60,17.19,28.57,210,349,60
employee_count_by_month.2011-02,integer,60,17.19,28.57,60,17.19,28.57,210,349,60
employee_count_by_month.2011-03,integer,60,17.19,28.57,60,17.19,28.57,210,349,60
employee_count_by_month.2011-04,integer,60,17.19,28.57,60,17.19,28.57,210,349,60
employee_count_by_month.2011-05,integer,60,17.19,28.57,60,17.19,28.57,210,349,60
employee_count_by_month.2011-06,integer,60,17.19,28.57,60,17.19,28.57,210,349,60
employee_count_by_month.2011-07,integer,61,17.48,29.05,61,17.48,29.05,210,349,61
employee_count_by_month.2011-08,integer,61,17.48,29.05,61,17.48,29.05,210,349,61
employee_count_by_month.2011-09,integer,62,17.77,29.52,62,17.77,29.52,210,349,62
employee_count_by_month.2011-10,integer,62,17.77,29.52,62,17.77,29.52,210,349,62
employee_count_by_month.2011-11,integer,62,17.77,29.52,62,17.77,29.52,210,349,62
employee_count_by_month.2011-12,integer,62,17.77,29.52,62,17.77,29.52,210,349,62
employee_count_by_month.2012-01,integer,63,18.05,30,63,18.05,30,210,349,63
employee_count_by_month.2012-02,integer,63,18.05,30,63,18.05,30,210,349,63
employee_count_by_month.2012-03,integer,63,18.05,30,63,18.05,30,210,349,63
employee_count_by_month.2012-04,integer,64,18.34,30.48,64,18.34,30.48,210,349,64
employee_count_by_month.2012-05,integer,64,18.34,30.48,64,18.34,30.48,210,349,64
employee_count_by_month.2012-06,integer,64,18.34,30.48,64,18.34,30.48,210,349,64
employee_count_by_month.2012-07,integer,64,18.34,30.48,64,18.34,30.48,210,349,64
employee_count_by_month.2012-08,integer,66,18.91,31.43,66,18.91,31.43,210,349,66
employee_count_by_month.2012-09,integer,66,18.91,31.43,66,18.91,31.43,210,349,66
employee_count_by_month.2012-10,integer,67,19.2,31.9,67,19.2,31.9,210,349,67
employee_count_by_month.2012-11,integer,69,19.77,32.86,69,19.77,32.86,210,349,69
employee_count_by_month.2012-12,integer,69,19.77,32.86,69,19.77,32.86,210,349,69
employee_count_by_month.2013-01,integer,71,20.34,33.81,71,20.34,33.81,210,349,71
employee_count_by_month.2013-02,integer,71,20.34,33.81,71,20.34,33.81,210,349,71
employee_count_by_month.2013-03,integer,71,20.34,33.81,71,20.34,33.81,210,349,71
employee_count_by_month.2013-04,integer,72,20.63,34.29,72,20.63,34.29,210,349,72
employee_count_by_month.2013-05,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-06,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-07,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-08,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-09,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-10,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-11,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-12,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2014-01,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-02,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-03,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-04,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-05,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-06,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-07,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-08,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-09,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-10,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-11,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-12,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2015-01,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2015-02,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
